x $x^2$ $x^3$
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.030303030303030387e-02 9.182736455463729169e-04 2.782647410746584576e-05
6.060606060606060774e-02 3.673094582185491667e-03 2.226117928597267661e-04
9.090909090909091161e-02 8.264462809917355601e-03 7.513148009015778016e-04
1.212121212121212155e-01 1.469237832874196667e-02 1.780894342877814129e-03
1.515151515151515194e-01 2.295684113865932227e-02 3.478309263433230700e-03
1.818181818181818232e-01 3.305785123966942241e-02 6.010518407212622413e-03
2.121212121212121271e-01 4.499540863177227401e-02 9.544480618860784818e-03
2.424242424242424310e-01 5.876951331496786668e-02 1.424715474302251303e-02
2.727272727272727071e-01 7.438016528925618653e-02 2.028549962434259349e-02
3.030303030303030387e-01 9.182736455463728908e-02 2.782647410746584560e-02
3.333333333333333703e-01 1.111111111111111327e-01 3.703703703703704886e-02
3.636363636363636465e-01 1.322314049586776896e-01 4.808414725770097931e-02
3.939393939393939226e-01 1.551882460973370015e-01 6.113476361410245113e-02
4.242424242424242542e-01 1.799816345270890960e-01 7.635584495088627854e-02
4.545454545454545858e-01 2.066115702479339178e-01 9.391435011269724797e-02
4.848484848484848619e-01 2.350780532598714667e-01 1.139772379441801042e-01
5.151515151515151381e-01 2.653810835629017428e-01 1.367114672899796823e-01
5.454545454545454142e-01 2.975206611570247461e-01 1.622839969947407479e-01
5.757575757575758013e-01 3.314967860422406432e-01 1.908617859031082609e-01
6.060606060606060774e-01 3.673094582185491563e-01 2.226117928597267648e-01
6.363636363636363535e-01 4.049586776859503967e-01 2.577009767092411363e-01
6.666666666666667407e-01 4.444444444444445308e-01 2.962962962962963909e-01
6.969696969696970168e-01 4.857667584940312810e-01 3.385647104655369888e-01
7.272727272727272929e-01 5.289256198347107585e-01 3.846731780616078344e-01
7.575757575757575690e-01 5.739210284664829631e-01 4.347886579291537767e-01
7.878787878787878451e-01 6.207529843893480059e-01 4.890781089128196091e-01
8.181818181818182323e-01 6.694214876033058870e-01 5.477084898572502913e-01
8.484848484848485084e-01 7.199265381083563842e-01 6.108467596070902284e-01
8.787878787878787845e-01 7.722681359044994975e-01 6.786598770069844910e-01
9.090909090909091717e-01 8.264462809917356712e-01 7.513148009015779838e-01
9.393939393939394478e-01 8.824609733700643499e-01 8.289784901355150559e-01
9.696969696969697239e-01 9.403122130394858669e-01 9.118179035534408339e-01
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
1.030303030303030276e+00 1.061524334251606971e+00 1.093691738319837459e+00
1.060606060606060552e+00 1.124885215794306559e+00 1.193060077357597892e+00
1.090909090909090828e+00 1.190082644628098985e+00 1.298271975957925983e+00
1.121212121212121327e+00 1.257116620752984693e+00 1.409494392965467746e+00
1.151515151515151603e+00 1.325987144168962573e+00 1.526894287224866087e+00
1.181818181818181879e+00 1.396694214876033291e+00 1.650638617580766576e+00
1.212121212121212155e+00 1.469237832874196625e+00 1.780894342877814118e+00
1.242424242424242431e+00 1.543617998163452798e+00 1.917828421960653396e+00
1.272727272727272707e+00 1.619834710743801587e+00 2.061607813673929090e+00
1.303030303030302983e+00 1.697887970615243214e+00 2.212399476862286551e+00
1.333333333333333481e+00 1.777777777777778123e+00 2.370370370370371127e+00
1.363636363636363757e+00 1.859504132231405205e+00 2.535687453042825723e+00
1.393939393939394034e+00 1.943067033976125124e+00 2.708517683724295910e+00
